Titulo,Compañia,Experiencia,Salario,Ubicacion,Fecha,Requisitos
Programador/a VBA,"ESICA, Seleccions de Personal",3,Sin informacion,Barcelona,06-01-2023,"['Microsoft Access', 'Visual Basic', 'JAVA', 'C#']"
Programador Wordpress PHP CSS,Digital Green,2,21.000 €,Sin informacion,06-01-2023,"['wordpress', 'php', 'css', 'html']"
Programador PHP,Idun Nature,Sin informacion,18.000 €,Sin informacion,06-01-2023,"['PHP', 'Javascript', 'Git']"
Desarrollador/a Java,Grupo Sermicro,3,Sin informacion,Sin informacion,06-01-2023,"['java', 'Spring Boot']"
Programador Java Senior,Serem,3,Sin informacion,Madrid,06-01-2023,"['java', 'Spring']"
Programador Backend .Net,Invoin,5,33.000 €,Valencia,06-01-2023,"['.net', 'sql', 'webservies', 'rest']"
Beca en Salesforce,Capgemini,Sin informacion,Sin informacion,Barcelona,06-01-2023,"['Java', 'Javascript', 'Angular', 'React']"
Java Software Developer,Capgemini,3,Sin informacion,Valencia,06-01-2023,"['java', 'software', 'Agile']"
Desarrollador Fullstack Java,CIB labs,Sin informacion,Sin informacion,Sin informacion,06-01-2023,"['java', 'javascript']"
Desarrollo Angular/Javascript E6/Remoto,PANEL Sistemas Informáticos,5,Sin informacion,Sin informacion,06-01-2023,"['angular', 'springboot']"
QA TESTER - Full Remote,GeeksHubs,3,30.000 €,Sin informacion,06-01-2023,"['qa', 'tester']"
Desarrollo Software,CMV Consultores,2,39.000 €,Málaga,06-01-2023,"['GWT', 'Spring', 'Hibernate', 'JPA']"
Analistas/Programadores Java Spring,Second Window,5,Sin informacion,Sin informacion,06-01-2023,"['Java EE', 'Spring', 'Oracle', 'Postgre']"
Desarrollador Liferay,CMV Consultores,2,Sin informacion,Vizcaya,06-01-2023,"['Liferay', 'SQL', 'ASP', 'ADO']"
Java Software Developer,Capgemini,3,Sin informacion,Murcia,06-01-2023,"['java', 'software', 'Agile']"
Fullstack Developer,Capgemini,3,Sin informacion,Murcia,06-01-2023,"['Java', 'SQL', 'Angular Front end']"
Desarrollador/a Microservicios Cloud,Tuyú Technology,3,33.000 €,Sin informacion,06-01-2023,"['microservicios', 'cloud', 'jenkins', 'Springboot']"
Product Owner IT SCRUM (Híbrido),OXIGENT Technologies,5,42.000 €,Madrid,06-01-2023,"['Scrum', 'Kanban', 'Python', 'Azure Devops']"
Desarrollador POWER PLATFORM,PSS,2,33.000 €,Sin informacion,06-01-2023,"['azure', 'power platform', 'power apps', 'power automate']"
.NET Developer (Motores Gráficos),OXIGENT Technologies,3,36.000 €,Barcelona,06-01-2023,"['.net', 'C#']"
Desarrollo Java 6-11/JSF e inglés,PANEL Sistemas Informáticos,3,Sin informacion,Madrid,06-01-2023,"['JAVA', 'JEE', 'JSF', 'oracle']"
Programadores Dynamics CRM,Seltime,2,30.000 €,Madrid,06-01-2023,"['C#', '.Net', 'JavaScript', 'SQL Server']"
Senior ETL- Python Developer,arelance,2,24.000 €,Málaga,06-01-2023,"['python', 'etl', 'devops', 'azure.aws']"
Java Developer,Social You,5,42.000 €,Barcelona,06-01-2023,"['Java', 'SQL', 'NoSQL', '.NET']"
Java Solutions Architect,GMV,3,Sin informacion,Madrid,06-01-2023,"['java', 'JEE']"
Analista/Programador JBPM (100% Remoto),PSS,3,33.000 €,Sin informacion,06-01-2023,"['JBPM', 'Java', 'React', 'Angular']"
Programador / Analista programador Java,Second Window,2,24.000 €,Sin informacion,06-01-2023,"['java', 'Java EE', 'Spring', 'Web Services']"
Agente de Helpdesk - Portugués C1/C2,Serem,Sin informacion,12.000 €,Sin informacion,06-01-2023,['helpdesk']
Programador Frontend,CMV Consultores,2,Sin informacion,Sin informacion,06-01-2023,"['javascript', 'angular', 'react', 'node']"
Analista Programador PHP + Drupal,AUREN DIGITAL,5,Sin informacion,Madrid,06-01-2023,"['php', 'drupal']"
Analista Programador .Net,Accuro Technology,5,Sin informacion,Madrid,06-01-2023,"['.net', 'c#', 'ASP', 'ASP.net Core']"
Programador/a Senior Fullstack,Zener,3,Sin informacion,Alicante,06-01-2023,"['JavaScript', 'NET 2.0', 'NET Core', 'SQL Server']"
ENG Desarrollador/a Frontend Angular,ALTEN Spain,1,Sin informacion,Madrid,06-01-2023,"['Angular', 'UI']"
Programador Backend NodeJS Remoto,Social You,5,39.000 €,Barcelona,06-01-2023,"['nodejs', 'nestjs', 'SQL', 'NoSQL']"
Angular Frontend developer,OXIGENT Technologies,3,27.000 €,Zaragoza,06-01-2023,['angular']
JAVA Back Software Developer presencial,Krell Consulting & Training,5,Sin informacion,Madrid,06-01-2023,"['java', 'spring', 'sql', 'maven']"
Desarrollador/a Java (Híbrido),OXIGENT Technologies,3,33.000 €,Sin informacion,06-01-2023,"['Java', 'Spring', 'Spring Boot', 'Microservicios']"
Desarrollo Salesforce Lightning Web APEX,CMV Consultores,1,24.000 €,Madrid,06-01-2023,"['salesforce', 'Salesforce Lightning', 'APEX']"
Administrador/a Electrónica Java,Tuyú Technology,1,21.000 €,Sevilla,06-01-2023,"['solaris', 'sparkc', 'oracle', 'HTML']"
Desarrollador iOS y Android,CIB labs,Sin informacion,Sin informacion,Sin informacion,06-01-2023,"['android', 'iOS']"
Analista desarrollador Xamarin,Michael Page,3,Sin informacion,Valencia,06-01-2023,"['Xamarin', 'Net', 'C#']"
Desarrollador web Prestashop,Page Personnel,1,21.000 €,Sevilla,06-01-2023,"['Prestashop', 'PHP']"
CRO (marketing),HAYS,3,Sin informacion,Madrid,06-01-2023,"['Google Analytics', 'Adobe Analytics', 'Excel', 'power point']"
Desarrollador/a .Net,Page Personnel,3,33.000 €,Sin informacion,06-01-2023,"['Net', 'C#']"
Desarrollador .NET,Page Personnel,5,Sin informacion,Sin informacion,06-01-2023,"['NET', 'C#', 'XAML']"
Ingeniero/a de cloud nativo y DevOps,GMV,3,Sin informacion,Madrid,06-01-2023,"['VMWare', 'Docker', 'Kubernetes']"
Salesforce Developer,HAYS,3,Sin informacion,Barcelona,06-01-2023,"['Salesforce', 'Apex']"
Programado Sr. Java Backend PL/SQL,Grupo NS,1,Sin informacion,Madrid,06-01-2023,"['Java', 'PL/SQL', 'Oracle']"
Prácticas en Desarrollo de Software,Capgemini,Sin informacion,Sin informacion,Murcia,06-01-2023,"['JAVA', 'REACT', 'ANGULAR']"
PHP Moodle Remoto,ALTEN Spain,3,Sin informacion,Sin informacion,06-01-2023,"['php', 'moodle', 'LAMP', 'Linux']"
Consultor/a normativa Ciberseguridad,GMV,2,Sin informacion,Madrid,05-01-2023,"['Ciberseguridad', 'ISMS', 'ISO 27001']"
Técnico/a de sistemas Middelware,CMV Consultores,2,Sin informacion,Madrid,05-01-2023,"['apache', 'tomcat', 'jboss', 'WAS']"
React Junior Developer,HAYS,1,18.000 €,Valencia,05-01-2023,['react']
Programador/a SiteCore Cloud,CAS TRAINING,3,36.000 €,Sin informacion,05-01-2023,['SiteCore']
Prácticas front-end developer,Capgemini,Sin informacion,Sin informacion,Barcelona,05-01-2023,"['Javascript', 'Angular', 'React']"
